2011 super output area - lower layer,mnemonic,Date,Gender,All Ages,Age 0,Age 1,Age 2,Age 3,Age 4,Aged 5-9,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Age 85,Age 86,Age 87,Age 88,Age 89,Aged 90+
Watford 012A,E01023882,2018,Male,733,15,17,10,9,10,36,45,37,24,45,38,49,43,63,57,60,44,35,35,27,9,3,7,5,4,3,3
Watford 012B,E01023883,2018,Male,807,12,6,18,11,15,42,74,66,40,30,47,48,44,62,44,58,42,38,47,31,18,2,2,5,1,3,1
Watford 012C,E01023884,2018,Male,920,23,13,18,13,20,66,65,34,47,72,70,91,84,63,60,57,50,18,25,13,9,1,2,0,0,0,6
Watford 012D,E01023885,2018,Male,890,15,17,17,8,6,48,56,53,22,43,53,70,64,75,67,56,64,44,50,29,16,4,4,3,1,0,5
Stevenage 001A,E01023787,2018,Male,768,8,9,12,13,14,58,55,54,50,38,66,33,71,36,71,54,42,42,15,13,11,0,1,0,0,0,2
Stevenage 001B,E01023788,2018,Male,831,10,14,10,14,10,65,55,87,53,38,56,42,51,55,70,50,40,24,37,23,21,2,2,0,1,0,1
Stevenage 001C,E01023789,2018,Male,1340,24,27,34,25,23,95,115,58,89,109,132,119,95,93,75,69,55,45,29,15,13,0,0,0,0,0,1
Stevenage 001D,E01023790,2018,Male,867,11,23,10,16,15,73,64,59,50,65,61,56,58,63,49,69,50,18,39,10,5,0,0,0,2,0,1
Stevenage 002A,E01023776,2018,Male,1478,26,21,14,16,14,83,85,76,104,140,177,120,74,96,98,67,54,62,40,57,35,2,2,3,5,0,7
Stevenage 002B,E01023777,2018,Male,918,10,9,14,10,15,64,46,53,53,48,54,55,78,74,71,58,46,43,51,31,16,7,4,3,2,0,3
Stevenage 002C,E01023778,2018,Male,784,9,14,10,11,13,71,43,38,55,52,59,62,59,44,53,52,44,25,25,21,16,1,1,2,2,1,1
Stevenage 002D,E01023799,2018,Male,652,11,2,6,7,5,31,55,33,38,31,33,26,42,44,52,43,62,48,51,17,11,0,0,1,1,0,2
Stevenage 002E,E01023800,2018,Male,1041,8,9,9,7,15,55,48,33,58,127,55,66,69,55,71,55,80,49,42,45,34,8,11,6,2,4,20
Stevenage 002F,E01023801,2018,Male,1154,16,19,22,17,15,99,110,80,47,86,76,69,86,110,90,82,51,31,20,10,11,1,1,1,1,0,3
Stevenage 003A,E01023771,2018,Male,773,15,6,7,11,2,40,40,52,42,34,51,68,47,67,71,43,50,41,38,20,14,2,2,5,1,2,2
Stevenage 003B,E01023772,2018,Male,905,10,9,8,7,6,54,49,42,42,59,82,63,61,59,78,70,56,49,44,27,17,0,1,5,2,0,5
Stevenage 003C,E01023773,2018,Male,661,11,8,11,6,15,65,53,27,46,55,34,29,57,33,46,49,40,29,20,5,15,0,1,1,0,2,3
Stevenage 003D,E01023774,2018,Male,869,13,10,11,10,5,78,61,89,53,47,52,59,53,61,73,44,55,19,36,21,10,1,1,2,0,3,2
Stevenage 004A,E01023767,2018,Male,693,9,7,9,11,4,27,27,36,49,46,50,50,42,52,60,86,43,26,21,20,8,4,1,2,0,1,2
Stevenage 004B,E01023768,2018,Male,811,12,10,11,12,9,41,40,45,45,49,48,59,29,65,72,89,54,28,54,23,9,1,1,2,0,2,1
Stevenage 004C,E01023769,2018,Male,835,8,8,16,10,8,51,65,36,28,49,61,70,52,60,71,62,45,34,34,33,28,0,1,2,0,0,3
Stevenage 004D,E01023770,2018,Male,760,9,10,8,8,9,21,41,48,33,39,71,35,33,63,66,69,59,56,27,19,15,1,5,3,4,2,6
