2011 super output area - lower layer,mnemonic,Date,Gender,All Ages,Age 0,Age 1,Age 2,Age 3,Age 4,Aged 5-9,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Age 85,Age 86,Age 87,Age 88,Age 89,Aged 90+
St Albans 007B,E01023734,2020,Female,811,7,6,5,10,11,24,48,50,48,27,39,52,66,70,77,65,51,41,52,26,22,0,5,2,1,1,5
St Albans 007C,E01023735,2020,Female,884,3,9,6,11,5,48,62,35,37,46,59,60,52,72,48,72,70,44,36,42,26,3,7,2,5,3,21
St Albans 007D,E01023736,2020,Female,837,9,12,8,11,6,58,43,27,44,50,45,47,51,57,56,57,43,36,54,41,29,9,6,8,7,1,22
St Albans 008A,E01023709,2020,Female,924,7,7,13,10,10,53,73,57,44,42,48,70,64,67,62,65,53,47,44,18,28,7,4,10,4,3,14
St Albans 008B,E01023710,2020,Female,815,4,7,6,6,10,60,63,50,37,9,18,44,80,66,63,61,38,47,50,28,30,4,7,4,3,9,11
St Albans 008C,E01023711,2020,Female,826,4,5,10,10,8,55,73,42,31,21,30,42,56,76,64,43,45,49,44,32,34,8,6,14,5,4,15
St Albans 008D,E01023712,2020,Female,960,7,11,16,20,8,70,74,57,43,58,73,88,72,72,61,54,55,39,24,20,11,4,4,7,4,2,6
St Albans 009A,E01023669,2020,Female,935,14,11,11,10,9,101,71,60,42,44,68,81,88,73,73,56,36,25,16,21,14,0,1,2,0,3,5
St Albans 009B,E01023670,2020,Female,1100,13,16,14,19,24,101,73,33,39,25,71,94,109,82,68,73,76,33,78,19,19,1,0,1,1,2,16
St Albans 009C,E01023671,2020,Female,1025,7,10,8,14,8,66,81,74,40,42,65,77,104,75,50,76,46,40,36,42,17,6,2,5,3,4,27
St Albans 009D,E01023672,2020,Female,1011,8,12,8,9,12,85,123,83,34,47,42,67,87,85,76,63,40,32,33,41,14,1,1,2,1,0,5
St Albans 010A,E01023673,2020,Female,771,7,9,8,10,17,54,65,56,26,30,19,38,69,69,61,53,45,29,43,19,29,0,1,4,5,3,2
St Albans 010B,E01023714,2020,Female,901,6,4,13,8,8,56,92,72,42,13,18,31,58,66,88,83,60,48,35,38,23,7,5,1,2,2,22
St Albans 010C,E01023715,2020,Female,856,8,6,13,7,13,65,84,74,23,26,32,42,59,69,83,45,56,52,32,17,17,1,1,2,1,2,26
St Albans 010D,E01023716,2020,Female,1127,16,22,25,23,29,75,62,38,25,81,82,136,110,84,63,68,39,50,30,29,22,2,4,3,0,0,9
St Albans 011A,E01023666,2020,Female,1010,19,14,12,12,16,39,49,29,54,115,113,145,94,59,48,25,28,30,27,19,27,7,2,11,2,5,9
St Albans 011B,E01023674,2020,Female,1005,23,15,18,17,16,99,65,45,29,55,101,102,84,82,65,62,30,31,25,9,9,1,0,3,0,0,19
St Albans 011C,E01023675,2020,Female,691,7,6,8,2,11,46,50,60,25,12,25,39,31,59,64,69,41,34,31,23,23,1,3,4,4,2,11
St Albans 011D,E01023676,2020,Female,1508,26,22,26,16,28,81,92,50,77,163,228,150,109,94,66,91,47,41,36,17,19,2,1,2,4,5,15
St Albans 012A,E01023726,2020,Female,1008,27,15,20,17,12,54,35,45,34,94,186,132,85,51,71,37,37,18,15,11,5,1,2,2,0,0,2
St Albans 012B,E01023727,2020,Female,1106,19,13,18,13,19,54,40,16,55,152,133,149,96,69,49,46,49,32,13,19,18,3,3,4,3,4,17
St Albans 012C,E01023728,2020,Female,1113,15,12,16,16,19,76,48,26,40,73,104,103,119,77,60,63,67,40,36,38,21,4,4,4,2,8,22
St Albans 012D,E01023729,2020,Female,1283,34,20,26,16,18,110,41,26,57,195,196,153,107,80,50,41,28,31,18,21,8,0,2,0,0,1,4
St Albans 013A,E01023664,2020,Female,964,6,5,9,7,18,79,103,45,42,36,47,73,81,87,92,75,40,39,33,23,13,3,1,0,3,0,4
St Albans 013B,E01023665,2020,Female,849,9,7,18,9,16,67,78,41,39,57,64,80,67,71,49,38,30,19,38,23,16,0,0,3,2,4,4
St Albans 013C,E01023667,2020,Female,741,4,16,12,14,16,65,43,26,33,47,63,69,65,49,48,40,47,21,29,11,12,2,2,1,3,0,3
St Albans 013D,E01023668,2020,Female,717,6,6,5,13,9,70,42,47,24,23,27,40,71,65,73,56,31,20,32,36,14,1,1,0,2,0,3
St Albans 014A,E01023742,2020,Female,983,10,18,10,19,16,63,69,33,36,10,25,66,87,62,49,46,50,60,80,67,36,8,14,8,12,3,26
St Albans 014B,E01023743,2020,Female,1015,4,11,13,7,17,49,51,40,23,42,64,48,79,76,80,62,57,60,53,52,47,10,8,7,9,11,35
St Albans 014C,E01023744,2020,Female,825,5,6,8,6,9,56,43,32,34,25,16,46,57,64,66,44,44,57,68,57,47,3,9,2,6,6,9
St Albans 014D,E01023745,2020,Female,962,13,13,8,15,7,58,51,29,41,46,71,69,84,73,84,58,47,42,60,40,21,6,4,3,2,3,14
St Albans 015A,E01023677,2020,Female,683,9,9,7,6,9,32,51,57,49,34,33,62,61,69,88,50,24,7,9,5,4,3,0,1,0,2,2
St Albans 015B,E01023678,2020,Female,981,13,10,14,6,16,60,89,43,36,45,55,66,87,112,73,54,57,44,39,22,22,3,3,2,4,2,4
St Albans 015C,E01023679,2020,Female,804,10,9,7,7,7,36,52,32,40,35,35,50,54,68,67,63,59,40,69,34,19,1,2,1,3,1,3
St Albans 015D,E01023680,2020,Female,738,8,2,8,10,11,44,59,66,24,23,32,50,58,65,60,37,35,41,28,20,27,5,4,7,0,4,10
St Albans 016A,E01023681,2020,Female,895,12,12,9,15,17,63,50,50,35,54,69,84,66,60,70,52,56,39,36,14,13,0,2,3,3,3,8
St Albans 016B,E01023682,2020,Female,941,6,11,9,15,9,58,90,47,43,42,61,71,87,80,50,36,42,31,38,26,33,8,17,6,6,3,16
St Albans 016C,E01023683,2020,Female,890,9,15,17,18,16,73,64,39,30,49,56,76,79,66,52,49,31,29,25,28,33,4,7,5,3,3,14
St Albans 016D,E01023684,2020,Female,862,11,4,12,7,15,37,42,46,23,40,51,49,75,61,49,58,64,47,46,50,31,5,3,8,2,5,21
St Albans 017A,E01023737,2020,Female,696,8,9,9,15,11,50,41,39,40,61,63,51,59,56,34,38,23,23,26,17,15,0,3,2,0,0,3
St Albans 017B,E01023738,2020,Female,785,4,13,15,11,13,64,60,43,39,46,63,69,65,46,56,35,38,35,27,16,20,1,1,1,0,1,3
St Albans 017C,E01023739,2020,Female,849,10,15,7,10,14,74,71,44,43,30,54,64,64,48,61,31,22,41,33,26,36,4,5,7,4,3,28
St Albans 017D,E01023740,2020,Female,725,9,10,15,11,18,39,31,27,29,56,55,67,61,61,32,35,57,21,15,31,21,3,3,2,2,4,10
St Albans 017E,E01023741,2020,Female,852,11,12,10,19,8,96,51,29,20,21,52,81,81,78,64,53,52,38,21,26,20,0,1,1,0,0,7
St Albans 018A,E01023704,2020,Female,790,13,7,15,7,9,52,32,26,35,58,61,80,61,58,56,53,46,51,44,11,11,0,0,0,0,0,4
St Albans 018B,E01023705,2020,Female,883,5,12,9,17,16,57,56,60,53,43,63,60,81,48,48,61,43,47,38,26,24,2,2,2,1,2,7
St Albans 018C,E01023706,2020,Female,898,9,9,9,7,10,51,33,40,56,80,51,63,62,55,72,79,44,45,30,39,36,2,4,2,3,0,7
St Albans 018E,E01023708,2020,Female,747,10,7,8,4,6,43,41,33,34,41,35,57,57,59,68,54,38,43,44,28,17,3,1,0,1,1,14
St Albans 018F,E01033028,2020,Female,776,7,15,11,14,16,58,47,47,32,39,63,59,52,64,38,49,40,44,31,10,32,1,0,0,1,0,6
St Albans 018G,E01033029,2020,Female,874,3,8,11,9,9,56,75,57,30,58,51,67,74,89,55,75,42,27,29,20,11,2,2,3,3,3,5
St Albans 019A,E01023718,2020,Female,893,11,8,5,7,8,59,65,53,24,25,32,44,54,58,69,67,59,59,64,57,40,4,4,5,4,2,6
St Albans 019B,E01023719,2020,Female,664,8,3,3,9,4,47,46,39,35,25,25,54,38,42,49,38,45,26,49,26,20,4,5,3,7,2,12
St Albans 019C,E01023720,2020,Female,934,17,12,12,7,11,54,58,37,46,70,72,71,79,57,60,66,48,31,46,33,17,3,0,2,5,0,20
St Albans 019D,E01023721,2020,Female,751,3,8,5,5,6,28,51,59,34,18,19,22,39,62,72,48,47,66,43,54,26,5,8,4,2,2,15
St Albans 020A,E01023717,2020,Female,635,12,3,14,8,6,42,42,24,25,38,33,45,45,45,57,52,39,38,29,14,14,4,0,1,1,0,4
St Albans 020B,E01023730,2020,Female,877,8,10,5,10,8,64,64,47,31,28,29,39,56,58,68,65,51,41,58,43,36,10,12,6,8,5,17
St Albans 020C,E01023731,2020,Female,740,9,4,6,10,11,39,56,31,30,36,43,38,50,51,44,59,38,39,57,46,21,1,3,5,1,4,8
St Albans 020D,E01023732,2020,Female,894,2,1,6,3,5,41,45,37,46,43,39,62,49,69,62,80,59,40,59,56,30,12,5,5,3,7,28
St Albans 020E,E01023733,2020,Female,893,11,10,8,8,6,52,46,44,43,33,49,35,44,40,56,73,74,64,87,41,38,3,5,2,3,4,14
Watford 001A,E01023904,2020,Female,1048,11,13,11,11,10,77,70,51,57,47,79,105,61,77,88,74,58,48,39,11,17,6,3,2,0,4,18
Watford 001B,E01023905,2020,Female,1055,14,14,8,16,13,84,76,62,41,68,72,88,90,86,83,51,44,46,38,26,11,3,4,3,3,3,8
Watford 001C,E01023906,2020,Female,784,8,15,5,17,9,46,51,37,50,38,61,38,53,62,48,48,43,33,54,25,23,7,4,3,0,3,3
Watford 001D,E01023907,2020,Female,908,11,13,23,19,11,60,50,35,45,45,86,64,78,60,51,56,33,29,44,35,31,3,0,3,5,2,16
Watford 002A,E01023890,2020,Female,660,7,10,10,4,6,55,39,47,31,28,40,50,38,50,48,44,38,38,17,18,18,3,5,3,5,4,4
Watford 002B,E01023891,2020,Female,756,14,8,9,17,12,58,55,48,30,51,52,62,51,61,57,41,31,28,17,11,20,4,3,4,3,3,6
Watford 002C,E01023892,2020,Female,688,13,11,10,12,9,34,53,31,26,26,51,64,36,50,61,62,46,21,34,20,8,1,2,1,2,0,4
Watford 002D,E01023893,2020,Female,856,5,6,7,5,14,47,54,47,34,49,38,52,51,59,62,68,55,22,47,53,45,5,0,5,7,2,17
Watford 002E,E01023894,2020,Female,685,8,8,6,9,5,39,47,34,35,29,37,56,50,54,56,42,38,34,25,37,27,0,1,1,1,2,4
Watford 003A,E01023873,2020,Female,677,6,11,11,12,7,58,56,31,29,41,38,63,42,38,49,48,25,23,20,21,15,5,4,0,5,2,17
Watford 003B,E01023874,2020,Female,668,11,2,4,7,8,62,53,26,14,33,36,47,58,42,39,34,50,30,41,24,28,1,2,3,2,1,10
Watford 003C,E01023875,2020,Female,1034,12,16,10,12,13,60,64,33,42,52,68,100,78,45,47,74,58,60,60,37,42,6,4,8,3,5,25
Watford 003D,E01023876,2020,Female,991,14,13,12,12,19,130,99,52,43,60,81,88,80,63,49,61,34,21,14,13,21,4,0,3,0,1,4
Watford 003E,E01023877,2020,Female,874,12,10,12,8,10,68,60,52,54,38,38,65,57,68,75,58,39,36,39,26,24,1,3,5,2,1,13
Watford 004A,E01023868,2020,Female,935,10,12,12,9,16,71,64,42,40,46,42,67,76,59,84,60,32,34,38,32,57,6,2,6,1,2,15
Watford 004B,E01023869,2020,Female,660,8,9,12,12,7,47,50,26,40,47,54,41,53,50,42,29,46,36,16,16,7,0,2,0,2,0,8
Watford 004C,E01023870,2020,Female,776,7,12,21,6,19,68,70,52,57,36,54,59,61,59,38,49,40,18,24,17,3,1,0,0,1,1,3
Watford 004D,E01023871,2020,Female,891,12,16,9,15,10,60,65,57,27,58,73,124,92,66,28,40,28,29,21,20,7,0,2,3,6,3,20
Watford 004E,E01023872,2020,Female,786,12,6,13,13,5,56,53,56,27,44,56,88,43,47,61,65,39,34,18,27,15,5,0,0,1,0,2
Watford 005A,E01023895,2020,Female,866,22,17,15,19,15,48,50,30,39,91,99,83,70,63,45,36,31,32,16,25,15,1,2,0,0,0,2
Watford 005B,E01023896,2020,Female,637,5,6,6,5,3,47,62,37,36,26,28,50,62,36,37,44,42,26,30,15,20,1,6,1,3,2,1
Watford 005C,E01023897,2020,Female,717,7,5,5,11,5,45,41,42,19,19,31,41,54,45,39,50,50,44,48,45,26,7,5,3,8,2,20
Watford 005D,E01023898,2020,Female,716,6,6,8,9,14,53,60,37,24,25,31,50,62,56,47,48,54,35,40,20,21,1,2,1,2,0,4
Watford 006A,E01023855,2020,Female,1040,17,16,15,13,31,77,34,49,55,97,102,133,100,57,80,46,27,30,39,7,10,2,0,1,0,1,1
Watford 006B,E01023856,2020,Female,1210,25,26,16,18,20,77,58,77,62,102,152,113,96,101,72,60,48,37,18,8,10,3,2,2,1,3,3
Watford 006C,E01023857,2020,Female,823,17,12,15,8,14,78,60,46,48,57,63,58,59,54,63,46,27,22,32,13,14,4,6,1,1,2,3
Watford 006D,E01023858,2020,Female,879,23,12,11,11,10,67,54,32,64,84,114,89,62,56,48,44,31,28,16,16,3,0,0,0,1,2,1
Watford 007A,E01023878,2020,Female,1030,13,10,7,17,13,59,51,40,41,60,57,83,67,56,62,59,70,54,66,57,36,4,10,7,9,8,14
Watford 007B,E01023879,2020,Female,1561,21,19,24,17,32,133,92,57,96,124,133,186,135,90,81,39,37,64,42,33,43,4,3,9,6,3,38
Watford 007C,E01023880,2020,Female,1113,14,12,13,8,13,65,38,43,74,88,114,113,69,66,85,67,47,27,34,39,37,8,6,3,4,1,25
Watford 007D,E01023881,2020,Female,816,4,9,9,6,10,66,56,58,22,25,26,66,61,64,58,37,45,52,50,25,24,6,5,4,5,3,20
Watford 008A,E01023886,2020,Female,1378,15,23,16,19,16,82,109,77,56,72,124,137,123,118,84,73,64,49,47,28,22,6,6,4,3,1,4
Watford 008B,E01023887,2020,Female,829,7,5,10,9,12,51,55,61,41,19,17,60,41,61,63,65,41,47,42,48,42,2,6,4,3,4,13
Watford 008C,E01023888,2020,Female,814,7,2,9,9,7,41,53,54,38,48,49,55,61,71,69,49,41,35,37,27,33,5,3,2,2,1,6
Watford 008D,E01023889,2020,Female,907,7,9,11,4,5,42,73,55,48,31,29,48,70,71,80,65,46,42,64,40,30,6,2,6,7,4,12
Watford 009A,E01023859,2020,Female,1246,21,25,23,18,13,113,71,41,71,147,202,143,110,75,62,39,21,13,9,12,5,1,1,2,0,1,7
Watford 009B,E01023860,2020,Female,917,19,12,13,17,14,70,47,29,41,83,74,128,71,64,67,56,28,41,13,18,8,0,0,1,0,0,3
Watford 009C,E01023861,2020,Female,1570,20,28,31,35,26,82,57,35,108,242,199,196,100,61,81,43,57,45,49,26,24,4,2,2,2,1,14
Watford 009D,E01023862,2020,Female,1331,26,16,24,15,24,75,96,69,69,119,154,151,91,70,76,50,40,28,32,29,30,10,9,9,4,5,10
Watford 010A,E01023899,2020,Female,842,19,5,14,16,18,92,60,37,42,62,82,77,66,67,51,24,34,21,13,19,10,1,3,1,0,0,8
Watford 010B,E01023900,2020,Female,726,14,10,7,10,7,51,62,55,35,43,55,64,71,80,45,25,30,12,18,15,6,3,1,1,2,0,4
Watford 010C,E01023901,2020,Female,1024,21,16,15,11,28,87,96,38,36,78,100,104,82,77,83,34,45,23,34,7,4,0,2,0,0,2,1
Watford 010D,E01023902,2020,Female,882,9,8,7,15,12,54,64,49,53,85,99,72,72,68,73,34,26,21,15,20,13,0,2,0,0,2,9
Watford 010E,E01023903,2020,Female,784,12,10,10,15,11,57,78,46,46,40,59,65,68,71,45,36,29,30,22,15,5,3,0,1,3,1,6
Watford 011A,E01023863,2020,Female,857,9,11,8,14,11,57,51,43,59,71,91,76,84,61,40,35,37,33,26,15,5,1,0,1,3,0,15
Watford 011B,E01023864,2020,Female,876,30,13,17,18,19,69,45,42,43,66,91,72,73,70,45,30,23,30,20,18,10,3,4,1,7,0,17
Watford 011C,E01023865,2020,Female,936,11,13,13,10,18,70,79,68,46,54,80,83,81,73,50,41,52,32,9,13,13,10,3,7,0,3,4
Watford 011D,E01023866,2020,Female,885,10,15,14,9,12,90,54,61,55,40,76,65,56,56,53,59,35,28,28,34,31,1,0,0,0,0,3
Watford 011E,E01023867,2020,Female,1302,26,19,21,18,17,110,104,66,70,133,128,130,125,87,45,57,56,25,41,14,5,0,1,0,1,0,3
Watford 012A,E01023882,2020,Female,794,6,9,7,4,5,54,36,42,33,36,50,54,57,64,57,52,63,56,36,23,25,6,3,4,2,3,7
Watford 012B,E01023883,2020,Female,842,5,4,9,12,12,47,71,47,52,31,43,62,53,58,50,58,51,47,44,40,20,2,7,2,2,3,10
Watford 012C,E01023884,2020,Female,923,8,16,14,15,7,61,57,27,37,63,75,77,70,73,70,61,41,38,39,30,27,6,0,1,3,2,5
Watford 012D,E01023885,2020,Female,885,9,11,10,10,14,53,69,43,39,41,45,67,72,66,64,59,53,51,40,26,12,6,3,5,8,3,6
Stevenage 001A,E01023787,2020,Female,724,7,8,9,10,9,59,55,44,47,41,42,39,51,53,75,40,35,31,28,19,11,8,0,3,0,0,0
Stevenage 001B,E01023788,2020,Female,777,8,9,13,8,15,52,55,37,35,47,62,68,55,51,63,34,39,24,34,18,20,5,6,2,3,3,11
Stevenage 001C,E01023789,2020,Female,1497,22,30,31,24,29,135,100,77,74,124,160,147,110,103,79,72,53,35,41,19,17,1,2,2,3,1,6
Stevenage 001D,E01023790,2020,Female,885,13,10,7,15,12,75,89,63,48,36,63,84,63,62,46,63,40,27,34,30,0,1,0,1,0,0,3
Stevenage 002A,E01023776,2020,Female,1354,15,21,14,16,7,77,61,51,67,111,149,133,79,76,91,69,82,55,52,55,42,2,3,1,6,6,13
Stevenage 002B,E01023777,2020,Female,897,3,8,15,12,4,47,42,31,47,54,45,55,72,65,76,62,46,43,48,47,37,13,7,3,2,2,11
Stevenage 002C,E01023778,2020,Female,877,13,9,10,7,13,67,91,51,46,55,64,69,51,67,66,55,37,23,29,25,20,2,2,1,0,0,4
Stevenage 002D,E01023799,2020,Female,669,2,3,4,3,5,44,47,42,29,17,39,37,55,42,51,75,56,39,33,15,15,1,5,1,2,3,4
Stevenage 002E,E01023800,2020,Female,1117,14,8,10,8,6,41,58,46,49,114,87,81,70,63,83,81,63,63,49,41,31,5,3,5,8,3,27
Stevenage 002F,E01023801,2020,Female,1231,10,15,14,18,14,89,90,70,61,90,109,92,103,92,120,69,50,34,47,9,14,0,2,2,4,2,11
Stevenage 003A,E01023771,2020,Female,819,6,16,10,8,9,49,43,28,40,51,65,63,51,59,66,59,42,34,49,26,28,4,4,2,0,4,3
Stevenage 003B,E01023772,2020,Female,817,9,11,7,9,13,42,54,23,29,55,44,75,53,46,59,65,54,54,33,30,15,4,6,2,5,2,18
Stevenage 003C,E01023773,2020,Female,732,10,11,7,12,16,54,49,37,41,46,55,49,43,53,50,71,47,22,19,13,18,2,0,1,0,2,4
Stevenage 003D,E01023774,2020,Female,755,3,8,4,4,4,53,52,45,38,41,56,72,43,42,53,56,22,26,36,31,25,4,4,5,5,5,18
Stevenage 004A,E01023767,2020,Female,756,10,11,13,9,10,31,41,24,37,47,52,65,67,45,73,59,57,36,38,15,8,2,1,1,1,1,2
Stevenage 004B,E01023768,2020,Female,756,11,6,11,11,8,42,27,20,38,38,59,40,47,61,52,83,55,42,36,22,34,5,0,4,0,2,2
Stevenage 004C,E01023769,2020,Female,861,13,13,9,8,12,42,63,43,33,37,52,71,48,51,69,60,54,41,37,42,31,5,7,3,4,2,11
Stevenage 004D,E01023770,2020,Female,728,6,8,6,4,7,33,32,32,32,43,41,46,53,50,60,64,53,60,38,18,24,6,2,3,4,1,2
Stevenage 005A,E01023795,2020,Female,833,7,7,10,11,22,49,43,25,37,46,81,57,46,54,53,52,58,51,42,26,22,10,5,1,2,1,15
Stevenage 005B,E01023796,2020,Female,782,11,9,12,8,5,34,30,35,48,65,57,46,48,69,50,29,48,57,41,31,26,5,0,1,4,0,13
Stevenage 005C,E01023797,2020,Female,675,8,3,7,4,5,36,43,15,34,38,61,54,44,40,46,41,58,49,40,13,12,6,0,2,3,0,13
Stevenage 005D,E01023798,2020,Female,746,13,10,5,17,8,70,34,38,30,50,67,53,55,36,52,50,46,35,28,14,11,4,3,2,7,2,6
Stevenage 006A,E01023775,2020,Female,1084,8,12,9,11,17,55,47,33,73,94,110,90,50,62,47,68,49,32,51,40,49,15,9,10,9,7,27
Stevenage 006B,E01023779,2020,Female,958,10,10,12,17,11,74,73,45,54,62,94,76,74,64,58,60,42,33,27,28,17,2,5,0,1,2,7
Stevenage 006C,E01023780,2020,Female,669,11,7,7,15,11,47,39,26,35,49,54,40,36,43,58,35,21,21,34,34,25,5,8,3,2,2,1
Stevenage 006D,E01023781,2020,Female,973,14,18,19,10,14,71,53,37,56,43,71,74,59,51,73,46,30,30,46,42,42,4,6,2,7,6,49
Stevenage 006E,E01023782,2020,Female,657,7,6,9,6,4,38,36,25,33,21,48,44,29,40,58,54,39,37,37,24,34,8,3,4,1,3,9
Stevenage 007A,E01023759,2020,Female,783,9,10,7,7,17,55,70,50,27,33,45,76,49,57,60,45,58,19,25,23,21,2,2,3,1,2,10
Stevenage 007B,E01023760,2020,Female,785,4,11,10,8,18,84,40,31,27,52,74,46,49,38,53,63,48,32,33,27,25,3,2,2,3,1,1
Stevenage 007C,E01023761,2020,Female,1131,10,10,10,15,19,104,62,61,43,80,108,92,78,73,81,77,58,30,38,27,20,7,4,2,7,2,13
Stevenage 007D,E01023762,2020,Female,755,3,7,6,17,8,55,50,36,35,38,66,56,49,43,63,47,39,25,33,35,22,4,3,2,4,3,6
Stevenage 008A,E01023755,2020,Female,869,2,6,6,16,16,67,56,46,56,58,84,59,67,53,55,57,39,34,27,26,18,3,4,2,2,0,10
Stevenage 008B,E01023756,2020,Female,886,13,11,14,15,16,48,70,53,75,61,56,77,61,62,64,48,39,31,28,16,16,0,2,0,1,1,8
Stevenage 008C,E01023757,2020,Female,1081,17,20,13,13,13,91,65,70,70,59,99,84,59,72,71,67,55,44,33,34,16,5,0,3,1,2,5
Stevenage 008D,E01023758,2020,Female,1314,23,20,27,12,15,70,64,35,86,161,166,117,59,58,45,77,49,40,30,30,49,9,6,7,13,7,39
Stevenage 009A,E01023750,2020,Female,654,10,12,6,7,7,39,18,17,33,34,56,31,29,32,40,60,42,33,21,26,25,14,9,8,8,7,30
Stevenage 009B,E01023751,2020,Female,566,8,9,2,2,12,35,32,19,23,38,43,37,40,36,50,42,33,33,34,11,13,3,3,1,1,3,3
Stevenage 009C,E01023752,2020,Female,709,9,8,10,12,11,48,43,55,30,57,59,52,61,53,36,29,31,24,19,19,19,8,8,1,3,2,2
Stevenage 009D,E01023753,2020,Female,821,12,10,8,9,11,53,37,28,33,57,52,61,60,34,63,92,85,44,25,14,10,3,5,2,5,2,6
Stevenage 009E,E01023754,2020,Female,704,7,11,8,9,8,47,57,52,36,51,35,48,60,51,68,30,40,23,19,19,16,1,1,1,1,2,3
Stevenage 010A,E01023791,2020,Female,803,8,14,7,9,17,61,30,36,43,48,71,59,46,57,50,71,39,37,19,32,27,1,3,2,3,3,10
Stevenage 010B,E01023792,2020,Female,873,8,9,6,10,14,60,76,41,41,59,83,66,70,73,50,68,36,15,38,19,20,2,1,2,2,1,3
Stevenage 010C,E01023793,2020,Female,776,5,7,13,6,7,56,51,39,31,38,75,59,63,47,70,54,28,23,28,33,20,6,1,3,5,6,2
Stevenage 010D,E01023794,2020,Female,827,7,12,9,8,10,74,68,46,42,56,64,67,52,46,57,47,42,32,31,22,16,2,6,2,1,3,5
Stevenage 011A,E01023783,2020,Female,802,7,8,13,6,9,52,25,60,51,50,53,75,44,42,71,57,49,33,21,17,31,3,6,2,3,3,11
Stevenage 011B,E01023784,2020,Female,801,11,8,5,16,10,55,26,49,50,37,46,49,43,52,58,50,51,38,45,37,28,11,5,3,1,2,15
Stevenage 011C,E01023785,2020,Female,963,11,14,14,15,18,83,69,44,43,72,97,79,54,48,73,69,38,27,32,33,14,4,4,1,3,0,4
Stevenage 011D,E01023786,2020,Female,923,15,10,15,13,16,64,51,54,27,78,89,86,57,47,59,54,45,32,34,22,15,9,6,2,4,1,18
Stevenage 012A,E01023763,2020,Female,732,8,3,8,7,6,56,26,34,35,38,45,52,65,30,66,63,58,40,34,24,19,1,6,2,3,1,2
Stevenage 012B,E01023764,2020,Female,656,5,16,15,8,6,27,21,23,28,40,41,39,40,29,56,59,76,47,32,17,15,1,3,3,1,2,6
Stevenage 012C,E01023765,2020,Female,755,6,8,5,11,8,40,66,34,28,29,55,47,49,50,54,67,33,40,33,21,35,5,6,6,5,2,12
Stevenage 012D,E01023766,2020,Female,878,15,12,15,8,12,70,72,49,28,54,74,72,59,57,48,45,42,39,33,22,24,3,6,4,3,2,10
Hertsmere 001A,E01023576,2020,Female,791,3,4,8,5,6,28,39,25,35,37,25,27,43,38,47,66,51,56,56,58,50,4,11,7,11,11,40
Hertsmere 001B,E01023577,2020,Female,938,11,7,16,6,8,39,42,45,45,56,27,49,39,49,86,45,52,57,84,79,44,4,9,7,7,2,23
Hertsmere 001C,E01023578,2020,Female,908,7,7,15,3,8,52,42,38,47,35,41,47,36,46,62,74,44,43,63,54,46,15,11,17,13,11,31
Hertsmere 001D,E01023579,2020,Female,796,5,2,6,9,6,28,49,55,79,75,41,50,60,52,49,53,31,27,35,18,27,5,6,5,1,4,18
Hertsmere 001E,E01023580,2020,Female,999,2,13,9,14,18,59,30,52,80,65,71,54,55,59,76,67,37,49,49,51,33,10,7,7,4,3,25
Hertsmere 002A,E01023567,2020,Female,1043,12,10,6,16,12,66,96,56,57,44,49,66,62,74,97,69,48,57,60,27,26,6,6,6,1,7,7
Hertsmere 002B,E01023568,2020,Female,777,4,7,6,4,6,39,32,37,35,34,38,37,44,38,63,55,48,45,69,50,40,8,5,4,2,4,23
Hertsmere 002C,E01023569,2020,Female,865,6,4,3,7,10,57,74,58,58,35,24,53,70,71,76,52,46,51,47,28,15,7,0,2,2,0,9
Hertsmere 002D,E01023570,2020,Female,790,3,4,8,11,5,38,38,35,89,66,37,54,49,37,50,62,52,36,54,25,16,4,4,1,1,0,11
Hertsmere 003A,E01023571,2020,Female,893,7,5,6,7,11,51,62,38,31,28,32,44,53,59,48,52,47,51,63,50,40,12,17,8,13,15,43
Hertsmere 003B,E01023572,2020,Female,789,7,10,4,6,11,46,39,32,43,49,46,56,56,53,64,50,68,39,40,34,13,2,2,3,1,1,14
Hertsmere 003C,E01023573,2020,Female,708,12,5,4,9,7,36,36,25,58,62,43,52,42,46,54,35,50,49,34,16,15,1,2,1,2,0,12
Hertsmere 003D,E01023574,2020,Female,833,4,5,7,7,13,51,57,45,48,56,53,59,58,59,65,65,42,35,37,28,19,3,3,1,2,2,9
Hertsmere 003E,E01023575,2020,Female,880,13,14,7,14,11,41,62,49,57,55,54,52,53,62,43,66,59,52,50,35,14,0,3,2,0,2,10
Hertsmere 004A,E01023581,2020,Female,687,6,12,7,15,8,52,48,48,20,13,32,49,45,73,43,54,46,35,57,9,3,1,1,5,2,1,2
Hertsmere 004B,E01023582,2020,Female,924,8,15,6,12,12,66,52,49,38,46,51,59,56,85,75,71,41,39,42,32,23,5,4,4,2,2,29
Hertsmere 004C,E01023583,2020,Female,763,11,13,11,7,10,62,54,28,33,46,33,46,49,45,59,74,38,31,21,36,24,3,3,2,2,3,19
Hertsmere 004D,E01023584,2020,Female,529,3,9,4,6,5,27,35,20,29,18,30,35,36,44,39,52,28,29,27,27,16,0,0,0,1,0,9
